,hmid,Root_Object_Phrase,Pronoun,wid,reflection_period,predicted_category,age,country,gender,marital,parenthood
0,27676,had - talk,,206,24h,bonding,28,DNK,f,married,n
1,27679,made - recipe,I,195,24h,achievement,30,USA,m,single,n
2,27680,got - gift,I,740,24h,affection,23,IND,m,single,n
3,27682,Watching - wars,,4833,24h,affection,41,USA,f,married,y
4,27684,completed - run,I,78,24h,exercise,28,USA,f,married,y
5,27686,shorting - Gold,I,8,24h,achievement,29,VNM,m,single,n
6,27687,take - while,,586,24h,enjoy_the_moment,28,IND,f,single,y
7,27689,helped - neighbour,I,976,24h,bonding,25,KWT,f,married,y
8,27693,Got - A,,9950,24h,achievement,38,USA,f,single,n
9,27694,called - me,,4862,24h,affection,42,IND,m,married,y
10,27696,are - types,,737,24h,enjoy_the_moment,25,IND,f,single,y
11,27696,are - those,,737,24h,enjoy_the_moment,25,IND,f,single,y
12,27701,woke - me,,3382,24h,affection,79,USA,f,widowed,y
13,27704,consumed - bowl,I,1510,24h,achievement,38,USA,m,single,n
14,27705,picked - daughter,I,5732,24h,affection,64,USA,f,divorced,y
15,27708,playing - game,I,2957,24h,bonding,34,USA,m,married,y
16,27708,formed - team,I,2957,24h,bonding,34,USA,m,married,y
17,27709,enjoyed - weather,I,261,24h,nature,25,IND,f,married,y
18,27711,stimulating - discussions,,1215,24h,bonding,26,IND,m,married,y
19,27714,received - award,I,4,24h,achievement,32,USA,m,married,y
20,27715,received - flowers,,2272,24h,bonding,27,USA,m,single,n
21,27716,gave - kiss,,157,24h,affection,33,IND,m,married,n
22,27717,gave - hug,,466,24h,affection,32,IND,m,married,y
23,27719,achieved - goal,I,36,24h,achievement,37,USA,m,single,n
24,27720,met - superstar,,2019,24h,bonding,25,USA,m,married,y
25,27722,ate - dinner,I,373,24h,affection,26,USA,f,single,n
26,27724,like - phone,I,10576,24h,enjoy_the_moment,31,PHL,m,married,n
27,27725,FELT - HAPPY,I,2129,24h,achievement,34,IND,f,married,y
28,27726,bought - TV,I,383,24h,achievement,66,USA,m,married,y
29,27727,won - match,,553,24h,achievement,32,IND,m,married,y
30,27727,sealed - position,,553,24h,achievement,32,IND,m,married,y
31,27728,made - bunch,I,311,24h,achievement,27,USA,m,single,n
32,27730,got - promotion,I,3284,24h,achievement,25,USA,m,single,n
33,27731,had - chat,I,2776,24h,affection,26,USA,f,single,n
34,27733,buy - cake,,257,24h,affection,27,IND,f,single,n
35,27733,buy - .i,,257,24h,affection,27,IND,f,single,n
36,27733,expect - cake,,257,24h,affection,27,IND,f,single,n
37,27733,had - fun,,257,24h,affection,27,IND,f,single,n
38,27733,had - .i,,257,24h,affection,27,IND,f,single,n
39,27733,miss - partner,,257,24h,affection,27,IND,f,single,n
40,27735,cooked - roast,I,1377,24h,achievement,36,USA,m,single,n
41,27736,saw - friends,I,5652,24h,bonding,18,USA,m,single,n
42,27737,cooked - girlfriend,I,57,24h,affection,34,USA,m,single,n
